REPOSITORY            TAG       IMAGE ID       CREATED        SIZE
rpctid-web            latest    3f79f908918e   3 days ago     593MB
<none>                <none>    905dbf02cc4e   3 days ago     579MB
<none>                <none>    22598b8f3cf4   3 days ago     579MB
<none>                <none>    5faed431bc81   3 days ago     574MB
<none>                <none>    12eeec58f1c4   3 days ago     574MB
<none>                <none>    c10be78fcda9   4 days ago     570MB
<none>                <none>    9c1cff2cea92   4 days ago     570MB
<none>                <none>    c5284b736398   4 days ago     570MB
<none>                <none>    f5a207abccb3   7 days ago     564MB
minnekaracsonyi-web   latest    967cf8a24b3d   2 weeks ago    563MB
karacsonyi-web        latest    bf984e3fc3f2   2 weeks ago    563MB
<none>                <none>    f430c0400c37   2 weeks ago    553MB
<none>                <none>    4f2c9795e0ba   2 weeks ago    553MB
<none>                <none>    450cbbe43253   2 weeks ago    553MB
mysql                 8.0       1c83f38450c3   3 months ago   764MB
